loan_id,customer_id,loan_amount,interest_rate,start_date
LONVIJLFE0FQERD,CUS0VWWKGL3C2ET,7939.97,8.16,5/5/2024
LONHREM3GBFRZCN,CUSK3SW6KH12S96,176269.07,3.84,12/12/2022
LONRVF09SWTR92A,CUS7D2AZQQGCDHI,193167.37,10.97,6/1/2024
LONVIO8NY2TPJ97,CUSKF0P22H7PUEM,15623.54,13.35,2/21/2020
LON8MO4Z8F2MY71,CUS4KVHY58PGUXF,50695.04,7.37,4/25/2019
LONHDREEA5JR90K,CUS7BPAAKLYYY42,196049.13,8.1,8/2/2024
LONWR67XXRBBG9E,CUSJ7KYVHT6ZWCH,23074.9,7.08,7/7/2024
LONR1E6D7SHGHKT,CUSFY357STKLGR8,174356.26,5.26,7/20/2020
LON1ISOKTAMO1RT,CUSXOL4RMHAJ3F0,178071.99,2.75,8/16/2025
LONXSCBS1P2LLGW,CUSIUFWOFRYTP4D,272416.83,7.54,3/29/2019
LONAY30CT258YMI,CUSNK9FJ5J97Q1P,136723.5,5.55,3/10/2022
LON2S6K7D8ID7NT,CUS8WNWNJT6GKU0,11383.25,9.34,4/25/2025
LONDTNT03UFIOZ3,CUSNAXJZLIFPAO6,91681.88,10.23,5/28/2021
LONJW6Z3FW61WY2,CUSAKQVJ8L9NX35,144956.19,7.6,9/17/2024
LON4G7OUAX68LYA,CUSYFUY9D3ZAL7O,277656.13,10.94,9/12/2024
LONZVT6BWZDQOQL,CUSJSEP0SJGKQQA,217145.09,5.04,12/24/2020
LONYIAX4CZ3R50Z,CUS1SZGLXDDEWJK,172335.77,7.74,7/8/2021
LONIPJ7BXWOJ51V,CUSJ55P0CVVYJ5Y,254809.72,3.6,2/18/2024
LONN8MMWZTUU3K6,CUSMQEJO7MQ67B8,198638.02,10.99,12/5/2023
LONRAJXH61FAHW9,CUSDCLI6978V0BJ,28944.2,2.27,5/23/2021
LONAC5BQO86QASG,CUSTDPWLYIO2QXQ,266318.4,9.06,7/25/2020
LONK5VK8BMY2XBI,CUS5510HDNF308X,184984.81,10.09,9/30/2019
LONV930J0F608WR,CUS7S2DOTKQEPCW,127021.52,5.3,1/11/2021
LONRMI6GW6YO4A4,CUS0DOIVQ9F9R71,295443.89,14.65,8/17/2019
LONXHAYNSRG9WX2,CUSULIIX8GFVEA5,212862.54,3.26,2/6/2025
LONRI6E7AIJ7TYC,CUSDSTV6RBM7I2Z,22750.37,13.59,10/16/2022
LONRFHRF70GV80S,CUS1ZW98US0QDFK,107362.46,9.43,9/20/2021
LONMOYV5YSPW79G,CUSQH3XAE77A8N2,207426.72,7.29,10/7/2024
LONR3IIBGH3X86D,CUSPFEQVFVUDKA8,120138.85,3.86,12/9/2019
LONEPYS8RQDQT2F,CUSVD16JAG5E6ST,85853.53,14.95,1/16/2022
LONWSWN4MD1WQZA,CUSHZ6FNDDTIULG,154196.56,10.23,8/3/2024
LONPMGG7RBXZHYI,CUSDA7U48SPBILD,45819.77,14.01,8/15/2020
LONLGAYNCOHA41Y,CUSGRX68YN2Z354,90826.99,12.2,2/25/2023
LON116DDUCAVT24,CUS8YHD6WBM8MIK,108893.54,13.16,3/30/2019
LONI6ZFEANF08S8,CUSQNN47Y3Q4I5B,299889.84,3.46,6/7/2023
LON4312XOJ7UBRO,CUSXIPC5TRLY01L,296930.22,13.06,2/13/2019
LONS6OA0C8M6DPJ,CUSTSXL62R7SE5S,154551.89,4.75,11/27/2023
LONLRC79GXFALAQ,CUSCY8DWDXOEGAM,48772.64,13.1,7/15/2022
LONMBBGNE3J972W,CUS7CR8SFV63TZX,249833.15,4.88,8/9/2025
LONY7G8C1MVLOMB,CUS2QM1XB0WZ1UN,252381.7,5.06,9/27/2024
LONTROZHQXYGOI8,CUSQJPBOFO7PUK6,68084.19,8.69,8/2/2022
LONXPC824LSTQ1T,CUSP7RCWXE81AL6,5701.95,3.28,8/19/2020
LONZ4229JRG4ES9,CUSZD65GTAH1WGC,25134.15,10.76,4/30/2024
LONF522TPYQQIUV,CUSROOA8HUJV4QW,15912.99,14.96,9/5/2019
LONM2MQNMP159JT,CUS2YVORXC51U2Q,263333.1,8.15,6/26/2022
LONG8ZGO95PLNQZ,CUS639WRNFMB5F2,187409.3,9.75,11/23/2019
LONI5R4W6JTC7WE,CUS0FKWVCJ5FZGA,55331.29,9.93,7/1/2020
LON0W3K9EQNRLI2,CUSBSL4C2Y4J58T,134345.31,2.72,11/20/2024
LON3SNFHNCIP7TI,CUSEW0U5NQWLFNS,287512.41,11.86,7/2/2020
LON28FZZANNCDJ0,CUSAK1BNBOK6OQL,31522.24,14.61,12/1/2025
LONSQVEWVEQAB6O,CUSAXUIB7AVU4ZV,264964.9,3.24,9/24/2020
LONOIO44PFRNT8D,CUS1ZXLY32SNIG2,21261.32,11.39,8/9/2021
LONSTKYQB66TFF4,CUSH6MBJA9JG6I4,278612.03,10.16,10/25/2025
LONU0ROJGSM5SXF,CUSOFFMQ326MECY,1893.14,6.68,2/10/2022
LON2UTLDD484RJY,CUS2E0B2YA51A31,47263.1,9.89,3/28/2023
LON3Q416FC1ZPMK,CUSLNJ5JN1F688Y,262207.75,5.1,4/16/2019
LON9R9I79X0C4FI,CUSEDWBJB3PQ0T5,80412.43,7.32,11/13/2025
LONU5CUZEX2SZVC,CUS3JTZW8MBKG0C,189113.99,11.25,6/27/2022
LONBBXBBBJU1YJG,CUSVT3XNNA0P8SY,72925.79,2.8,2/23/2019
LON22CS1D06WKB0,CUSF1G4445VSW80,88232,13.88,1/27/2022
LON6FQ15P9M5DBP,CUSL2QF34VTEBA8,99680.86,6.06,1/8/2023
LONET8M7P4HRW2C,CUSPP9OEVS1JR77,237114.61,7.54,8/12/2025
LON4VBWWVBEVSJ5,CUSUSLR3ST0DT30,113101.45,8.82,3/21/2019
LONA4NGZDMLUA15,CUSFJ0EFIIDXZN7,99514.32,13.42,11/7/2019
LONMA24VRJN2V7L,CUSLZQAFGNH84OV,11660.8,7.07,4/19/2019
LON71OPPZ4L8AVB,CUSZDTZ3BM4870D,242055.51,10.8,3/13/2023
LONDDAQBAA8WLHB,CUSMYG2ZF9EXNXY,229154.18,11.29,10/6/2023
LONAXVFL6F0FXBY,CUSXORKF3FGJPI6,7839.92,8.84,5/12/2024
LONHK6WW9249J54,CUSPKXVHAGKC4LO,245417.79,6.96,11/10/2024
