merchant_id,merchant_name,city
MERU9JCGLS9MNLI,"Williams, Moore and Campbell",West Bradley
MER43QNBEL8JWEW,Wolf LLC,New Heather
MER3N5P7AWGR7U5,Smith and Sons,Lake Kevinbury
MERLXSBZNU5LYTU,Barnes-Roberts,Port Grantfort
MERT7OA8XC77HJ1,Williamson-Contreras,West Dianaview
MERPAMYV4SYG8KK,Cole Group,Port Briantown
MER8QQVJD1FTCWC,Montgomery-Larsen,Lake Patriciaborough
MERMJNO5ZJIG56Y,Gomez-Foster,New Michael
MERUUA2FSWYI9UD,"Jackson, Knight and Miller",Port Justin
MER0JMGLEH597T8,Meyer and Sons,Rebeccaport
MER4TJ08YIX70RD,"Mitchell, Brown and Benton",Bennettport
MERXQX6N7C0Z5XP,Nixon LLC,Tylerburgh
MERYKJVSZHZQHZV,Barrett and Sons,Port Susanbury
MERJLZ9R01G5VOD,Saunders-Lopez,Emilyport
MERXUMUBOAJ9GAI,Hunter-Ward,New Amymouth
MER9QCWPBV1EWMQ,Garcia-Brandt,Cherylhaven
MERFHY31WGC27O4,"Newman, Koch and Baker",Johnsonmouth
MERPPL8MSBA0UM4,"Hodge, Buchanan and Rose",West Christopher
MERCV31S3N713Q0,"Cantu, Carey and Davis",North Loganview
MER871CEH865MVG,Henry-Baker,Carriefurt
MERXEE7FNZQY05I,"Hull, Rodriguez and Edwards",New Lawrencebury
MER527L0X2GD0WB,Gonzalez Inc,North Colton
MERZCR2C8V747FC,Andrews-Wilson,Williamsburgh
MERDNDAL3HZLT1S,Morgan-Torres,Lake Aarontown
MEREQNP2NEP1WT2,"Wells, Butler and Ayers",North Brianna
MER4CBW6XWRBJHD,"Ryan, Malone and Morris",Walterview
MERD1CUHWDB7P57,"Harper, Lewis and Buchanan",Hollowayside
MERJA2U8N3VCOTV,"Sutton, Mclean and Aguirre",Lake Dianeview
MERG9ESEM3XV7HY,Gonzalez LLC,Oconnellport
MER31DO5JJKHQEC,Hickman LLC,Lake Johnmouth
MERJ05HSBTIUERK,Rich Inc,New Lori
